Gene,rep_1,rep_2,rep_3,rep_4
D330025C20Rik,0,0,0,0
D330041H03Rik,69,67,68,68
D330050G23Rik,100,100,100,100
D330050I16Rik,0,0,0,0
D3Ertd751e,93,93,92,93
D430019H16Rik,94,94,93,92
D430020J02Rik,83,87,82,83
D430036J16Rik,63,63,64,58
D430040D24Rik,73,70,77,79
D430041D05Rik,79,67,71,68
D530017H19Rik,89,91,91,89
D530018E20Rik,0,0,0,0
D530033B14Rik,14,23,23,29
D5Ertd579e,98,98,98,98
D5Ertd605e,100,100,100,100
D630002J18Rik,0,0,0,0
D630003M21Rik,100,100,100,100
D630023F18Rik,100,100,100,100
D630024D03Rik,100,100,100,100
D630033A02Rik,0,0,0,0
D630033O11Rik,100,100,100,100
D630036H23Rik,0,0,0,0
D630039A03Rik,100,100,100,100
D630044L22Rik,100,100,100,100
D630045J12Rik,91,92,91,91
D6Ertd474e,100,100,100,100
D6Wsu163e,97,97,97,97
D730002M21Rik,100,100,100,100
D730003I15Rik,94,94,94,89
D730005E14Rik,42,55,59,54
D730044K07Rik,0,0,0,0
D730045B01Rik,100,100,100,100
D7Bwg0826e,0,0,0,0
D7Ertd128e,100,100,100,100
D7Ertd443e,84,82,82,83
D830005E20Rik,41,49,54,46
D830013O20Rik,100,100,100,100
D830024N08Rik,84,92,89,91
D830025C05Rik,0,0,0,0
D830035M03Rik,0,0,0,0
D830036C21Rik,100,100,100,100
D830039M14Rik,52,21,27,12
D830044D21Rik,100,100,100,100
D830050J10Rik,68,67,72,74
D8Ertd738e,99,99,99,99
D930003E18Rik,32,45,23,23
D930007J09Rik,0,0,0,0
D930019O06Rik,100,100,100,100
D930020B18Rik,100,100,100,100
D930028M14Rik,100,100,100,100
D930030I03Rik,100,100,100,100
D930036K23Rik,0,0,0,0
D930048N14Rik,66,66,69,67
Daam1,96,95,95,95
Daam2,91,96,95,95
Dab1,85,83,87,83
Dab2,98,98,98,98
Dab2ip,97,96,97,97
Dach1,70,61,69,64
Dach2,100,100,100,100
Dact1,91,94,94,93
Dact2,90,86,89,88
Dact3,92,91,92,92
Dad1,99,99,99,99
Dag1,98,98,98,98
Dagla,62,65,68,74
Daglb,96,96,96,95
Dalir,0,0,0,0
Dalrd3,96,96,95,95
Dancr,99,99,99,99
Dand5,92,94,93,93
Dao,100,100,100,100
Dap,98,97,98,98
Dap3,98,98,98,98
Dapk1,96,95,96,96
Dapk2,98,97,97,97
Dapk3,96,96,96,96
Dapl1,83,92,80,93
Dapp1,91,92,93,92
Dars1,98,98,98,98
Dars2,98,98,98,98
Daw1,100,100,100,100
Daxx,95,95,96,96
Dazap1,98,97,98,97
Dazap2,98,99,99,99
Dazl,100,100,100,100
Dbf4,95,95,94,95
Dbh,100,100,100,100
Dbi,99,99,99,99
Dbil5,75,81,76,83
Dbn1,98,97,98,98
Dbndd1,65,67,64,61
Dbndd2,99,99,99,98
Dbnl,96,96,96,96
Dbp,94,95,93,95
Dbpht2,0,0,0,0
Dbr1,95,95,95,95
Dbt,98,98,98,98
Dbx1,100,100,100,100
Dbx2,76,55,66,80
Dcaf1,96,96,95,95
Dcaf10,88,88,89,88
Dcaf11,97,97,97,97
Dcaf12,94,95,95,94
Dcaf12l1,99,99,99,98
Dcaf12l2,0,0,0,0
Dcaf13,96,97,97,97
Dcaf15,89,90,90,90
Dcaf17,94,95,94,95
Dcaf4,96,96,96,96
Dcaf5,95,94,94,94
Dcaf6,97,97,97,97
Dcaf7,95,95,96,95
Dcaf8,98,98,97,97
Dcakd,96,96,97,96
Dcbld1,92,91,92,91
Dcbld2,92,92,91,91
Dcc,71,66,72,66
Dcdc2a,100,100,100,100
Dcdc2b,21,18,22,19
Dchs1,94,95,92,93
Dchs2,88,92,82,83
Dck,94,95,96,95
Dclk1,79,96,92,88
Dclk2,95,94,95,94
Dclk3,92,87,88,89
Dclre1a,94,93,93,93
Dclre1b,91,90,92,90
Dclre1c,87,87,88,88
Dcn,100,95,93,95
Dcp1a,89,89,89,89
Dcp1b,82,83,82,83
Dcp2,96,96,97,96
Dcpp1,100,100,100,100
Dcpp2,100,100,100,100
Dcpp3,100,100,100,100
Dcps,98,98,98,98
Dcst1,47,42,41,31
Dcst2,56,46,31,38
Dcstamp,30,14,38,43
Dct,100,100,100,100
Dctd,89,88,94,93
Dctn1,98,98,98,98
Dctn2,97,98,98,98
Dctn3,99,99,99,98
Dctn4,96,96,97,96
Dctn5,98,98,98,98
Dctn6,98,98,98,98
Dctpp1,100,100,100,100
Dcun1d1,98,97,97,97
Dcun1d2,95,95,94,94
Dcun1d3,89,90,90,87
Dcun1d4,98,98,97,97
Dcun1d5,97,97,97,97
Dcx,78,80,85,82
Dcxr,97,97,96,96
Dda1,93,93,94,94
Ddah1,97,98,98,98
Ddah2,97,98,98,98
Ddb1,99,99,99,99
Ddb2,95,95,94,94
Ddc,99,94,99,98
Ddhd1,93,92,92,92
Ddhd2,94,94,93,94
Ddi2,91,91,91,91
Ddias,91,93,94,91
Ddit3,82,84,86,83
Ddit4,94,91,93,94
Ddit4l,95,89,95,94
Ddn,74,66,59,54
Ddo,90,92,88,91
Ddost,99,99,99,99
Ddr1,96,96,96,96
Ddr2,97,96,97,93
Ddrgk1,96,96,96,96
Ddt,98,98,98,98
Ddx1,98,98,98,98
Ddx10,97,97,97,97
Ddx11,94,94,94,94
Ddx17,95,95,95,95
Ddx18,97,97,97,97
Ddx19a,94,94,94,94
Ddx19b,97,97,97,96
Ddx20,94,94,94,94
Ddx21,98,98,98,98
Ddx23,98,98,98,98
Ddx24,97,97,97,97
Ddx25,95,93,93,89
Ddx27,98,98,98,98
Ddx28,0,0,0,0
Ddx31,94,93,93,93
Ddx39a,96,97,97,97
Ddx39b,93,93,94,94
Ddx3x,97,97,96,96
Ddx3y,40,44,32,38
Ddx4,100,100,100,100
Ddx41,94,94,95,94
Ddx42,95,95,95,95
Ddx43,68,59,67,69
Ddx46,98,98,98,98
Ddx47,97,97,97,97
Ddx49,97,97,98,97
Ddx5,97,97,97,97
Ddx50,97,97,97,97
Ddx51,92,91,91,93
Ddx52,96,96,96,97
Ddx54,96,97,97,97
Ddx55,94,95,95,92
Ddx56,94,95,96,95
Ddx59,97,97,97,97
Ddx6,95,95,95,95
Ddx60,91,92,88,93
Deaf1,94,94,94,94
Decr1,97,97,97,97
Decr2,95,95,95,95
Dedd,93,93,94,93
Dedd2,94,94,95,94
Def6,90,94,96,86
Def8,99,99,99,98
Defb1,100,100,100,100
Defb11,100,100,100,100
Defb19,100,100,100,100
Defb22,100,100,100,100
Defb25,100,100,100,100
Defb4,100,100,100,100
Defb6,100,100,100,100
Degs1,98,98,98,98
Degs1l,100,100,100,100
Degs2,100,100,100,100
Dek,95,95,95,96
Dele1,95,95,95,95
Dennd10,97,97,97,97
Dennd11,95,95,95,94
Dennd1a,94,94,94,94
Dennd1b,95,94,94,94
Dennd1c,80,79,86,84
Dennd2a,94,94,95,94
Dennd2b,97,97,97,97
Dennd2c,90,95,94,94
Dennd2d,93,90,93,93
Dennd3,94,94,93,93
Dennd4a,94,94,93,93
Dennd4b,78,81,80,82
Dennd4c,94,94,94,95
Dennd5a,97,97,97,97
Dennd5b,95,94,95,95
Dennd6a,95,95,94,95
Dennd6b,94,94,94,94
Denr,98,98,98,98
Depdc1a,87,87,89,87
Depdc1b,92,83,92,94
Depdc5,97,97,97,97
Depdc7,96,95,95,94
Depp1,84,85,84,82
Deptor,97,97,96,96
Dera,98,98,99,98
Derl1,95,95,95,95
Derl2,95,95,95,95
Derl3,88,71,85,91
Derpc,75,67,70,63
Des,98,98,99,98
Desi1,96,95,96,96
Desi2,88,88,89,88
Det1,95,95,95,95
Deup1,100,100,100,100
Dexi,94,94,94,94
Dffa,97,97,97,97
Dffb,92,91,91,92
Dgat1,89,88,88,89
Dgat2,98,98,98,98
Dgcr2,99,99,100,100
Dgcr6,99,98,99,98
Dgcr8,91,91,91,91
Dgka,95,95,95,95
Dgkb,84,74,85,81
Dgkd,95,95,96,95
Dgke,89,89,89,89
Dgkeos,100,100,100,100
Dgkg,85,86,93,85
Dgkh,93,93,93,93
Dgki,80,83,86,85
Dgkk,100,100,100,100
Dgkq,93,93,93,93
Dgkz,97,97,97,97
Dglucy,97,97,96,96
Dguok,95,95,95,95
Dhcr24,98,97,98,97
Dhcr7,98,98,97,98
Dhdds,91,92,92,91
Dhdh,95,93,92,94
Dhfr,93,94,94,93
Dhh,100,100,100,100
Dhodh,97,97,96,97
Dhps,98,98,98,97
Dhrs1,98,98,98,98
Dhrs11,87,88,90,89
Dhrs13,91,91,93,86
Dhrs13os,100,100,100,100
Dhrs2,100,100,100,100
Dhrs3,96,97,97,96
Dhrs4,98,98,98,98
Dhrs7,99,99,99,99
Dhrs7b,97,97,97,97
Dhrs7c,81,84,67,71
Dhrs9,91,91,95,89
Dhtkd1,92,94,92,93
Dhx15,97,97,96,97
Dhx16,97,97,97,98
Dhx29,98,98,98,98
Dhx30,98,98,98,98
Dhx32,98,98,98,98
Dhx33,92,92,92,92
Dhx34,92,93,93,93
Dhx35,95,95,96,96
Dhx36,95,95,95,95
Dhx37,89,91,91,91
Dhx38,96,96,96,96
Dhx40,97,97,97,97
Dhx57,93,93,93,93
Dhx58,77,81,73,72
Dhx58os,100,100,100,100
Dhx8,97,97,97,97
Dhx9,95,95,95,95
Diablo,98,98,98,98
Diaph1,92,93,93,93
Diaph2,94,94,93,94
Diaph3,97,93,97,97
Dicer1,96,96,95,96
Dido1,92,91,92,92
Dimt1,93,92,92,93
Dio1,100,100,100,100
Dio2,97,97,96,97
Dio3,35,26,28,30
Dio3os,69,71,66,67
Dip2a,95,95,94,95
Dip2b,95,95,95,95
Dip2c,91,91,90,90
Dipk1a,97,96,97,96
Dipk1b,88,93,90,92
Dipk1c,100,100,100,100
Dipk2a,95,95,95,95
Dipk2b,70,79,81,76
Diras1,98,100,99,90
Diras2,85,91,95,85
Dis3,95,96,95,95
Dis3l,97,98,97,97
Dis3l2,97,97,97,97
Disc1,53,60,58,53
Discn,91,67,90,82
Disp1,93,92,92,92
Disp2,87,90,90,95
Disp3,57,53,56,46
Dixdc1,96,97,97,97
Dkc1,98,98,98,98
Dkk1,100,100,100,100
Dkk2,76,88,83,80
Dkk3,98,98,98,98
Dkkl1,91,92,99,98
Dlat,97,98,98,97
Dlc1,97,97,96,97
Dld,99,99,99,99
Dlec1,100,100,100,100
Dleu2,95,95,94,95
Dleu7,100,100,100,100
Dlg1,97,97,96,96
Dlg2,90,85,88,94
Dlg3,97,97,96,96
Dlg4,94,96,90,95
Dlg5,97,97,96,96
Dlgap1,85,86,84,84
Dlgap2,51,50,65,60
Dlgap3,94,83,92,87
Dlgap4,98,98,98,98
Dlgap5,98,98,96,98
Dlk1,98,99,96,99
Dlk2,68,64,71,60
Dll1,92,92,91,91
Dll3,67,67,81,73
Dll4,84,86,89,84
Dlst,98,98,98,98
Dlx1,98,100,94,97
Dlx1as,54,67,88,62
Dlx2,91,67,80,95
Dlx3,85,92,97,94
Dlx4,88,84,81,89
Dlx4os,44,38,40,30
Dlx5,51,64,74,77
Dlx6,77,79,90,84
Dlx6os1,72,56,69,55
Dmac1,93,92,94,93
Dmac2,96,96,96,96
Dmac2l,92,91,94,90
Dmap1,95,96,96,95
Dmbt1,100,100,100,100
Dmbx1,100,100,100,100
Dmc1,66,62,68,67
Dmd,99,99,99,99
Dmgdh,88,82,93,66
Dmkn,99,95,96,99
Dmp1,100,100,100,100
Dmpk,85,84,86,87
Dmrt1,100,100,100,100
Dmrt2,94,89,89,90
Dmrt3,100,100,100,100
Dmrta1,100,100,100,100
Dmrta2,69,56,75,60
Dmrtb1,100,100,100,100
Dmrtc1a,88,75,89,90
Dmrtc1b,67,70,97,76
Dmtf1,92,92,92,92
Dmtn,97,97,97,97
Dmwd,80,81,82,81
Dmxl1,93,94,93,93
Dmxl2,97,97,98,97
Dna2,95,94,95,95
Dnaaf1,100,100,100,100
Dnaaf10,97,97,97,97
Dnaaf11,100,100,100,100
Dnaaf2,100,100,100,100
Dnaaf3,100,100,100,100
Dnaaf4,100,100,100,100
Dnaaf5,89,88,89,89
Dnaaf6,100,100,100,100
Dnaaf8,89,89,87,87
Dnaaf9,98,98,97,97
Dnah1,100,100,100,100
Dnah10,100,100,100,100
Dnah11,84,83,90,79
Dnah12,100,100,100,100
Dnah17,100,100,100,100
Dnah2,100,100,100,100
Dnah2os,100,100,100,100
Dnah3,100,100,100,100
Dnah5,100,100,100,100
Dnah6,100,100,100,100
Dnah7a,100,100,100,100
Dnah7b,100,100,100,100
Dnah7c,100,100,100,100
Dnah8,88,83,86,79
Dnah9,70,75,66,56
Dnai1,100,100,100,100
Dnai2,100,100,100,100
Dnai3,100,100,100,100
Dnai4,89,88,90,90
Dnai7,100,100,100,100
Dnaja1,97,97,97,96
Dnaja2,97,97,97,97
Dnaja3,99,99,99,99
Dnaja4,92,93,91,91
Dnajb1,91,91,92,91
Dnajb11,98,98,98,98
Dnajb12,96,96,96,96
Dnajb13,100,100,100,100
Dnajb14,95,95,96,95
Dnajb2,96,96,96,96
Dnajb3,0,0,0,0
Dnajb4,97,97,97,97
Dnajb5,96,97,98,97
Dnajb6,98,98,98,98
Dnajb7,0,0,0,0
Dnajb9,93,93,94,94
Dnajc1,93,93,92,93
Dnajc10,98,98,98,98
Dnajc11,99,98,99,99
Dnajc12,98,98,98,98
Dnajc13,95,95,95,95
Dnajc14,97,97,97,97
Dnajc15,99,99,99,99
Dnajc16,94,94,94,94
Dnajc17,96,96,97,96
Dnajc18,98,98,98,98
Dnajc19,99,99,99,99
Dnajc2,98,98,98,98
Dnajc21,96,96,95,96
Dnajc22,85,90,87,95
Dnajc24,93,93,93,92
Dnajc25,93,93,93,93
Dnajc27,93,94,94,93
Dnajc28,92,92,92,93
Dnajc3,97,98,97,98
Dnajc30,0,0,0,0
Dnajc4,95,96,96,95
Dnajc5,95,95,96,95
Dnajc6,96,95,95,95
Dnajc7,98,98,98,98
Dnajc8,99,99,99,99
Dnajc9,96,97,97,96
Dnal1,95,94,95,94
Dnal4,98,97,97,96
Dnali1,100,100,100,100
Dnase1,95,92,90,96
Dnase1l1,93,93,95,93
Dnase1l2,87,84,86,82
Dnase1l3,82,76,76,76
Dnase2a,97,97,97,97
Dnase2b,100,100,100,100
Dnd1,62,75,73,75
Dner,76,83,83,78
Dnhd1,81,85,85,89
Dnlz,83,83,84,83
Dnm1,88,93,90,92
Dnm1l,96,96,96,96
Dnm2,98,98,98,98
Dnm3,96,92,97,96
Dnm3os,57,58,57,57
Dnmbp,95,95,95,95
Dnmt1,98,98,98,98
Dnmt3a,97,97,96,96
Dnmt3b,82,85,89,88
Dnmt3c,100,100,100,100
Dnmt3l,100,100,100,100
Dnpep,99,99,99,99
Dnph1,85,94,91,90
Dntt,100,100,100,100
Dnttip1,91,90,91,91
Dnttip2,97,97,97,98
Doc2a,76,91,72,80
Doc2b,82,88,85,81
Doc2g,88,92,83,90
Dock1,98,98,98,98
Dock10,96,96,96,96
Dock11,96,96,96,96
Dock2,93,97,93,92
Dock3,81,87,89,88
Dock4,91,92,91,91
Dock5,95,95,94,94
Dock6,97,96,96,96
Dock7,97,97,97,97
Dock8,93,90,93,93
Dock9,97,97,98,97
Dohh,99,99,99,99
Dok1,92,89,91,95
Dok2,81,89,82,87
Dok3,65,65,71,71
Dok4,95,94,96,95
Dok5,84,83,85,82
Dok6,59,63,72,54
Dok7,76,82,81,81
Dolk,0,0,0,0
Dolpp1,92,94,93,93
Donson,87,89,88,88
Dop1a,96,96,96,96
Dop1b,96,96,96,96
Dot1l,81,80,82,83
Dpagt1,93,92,93,93
Dpcd,97,97,97,96
Dpep1,98,93,99,95
Dpep2,100,100,100,100
Dpf1,98,94,98,97
Dpf2,97,97,97,97
Dpf3,95,92,89,95
Dph1,93,92,92,92
Dph2,94,94,94,95
Dph3,97,97,97,97
Dph5,97,97,97,97
Dph6,94,94,93,93
Dph7,91,89,92,90
Dpm1,98,98,97,97
Dpm2,87,87,88,89
Dpm3,100,100,100,100
Dpp10,53,61,75,60
Dpp3,98,98,98,98
Dpp4,96,97,96,92
Dpp6,77,82,88,69
Dpp7,97,97,97,97
Dpp8,98,98,98,98
Dpp9,95,95,95,95
Dppa1,100,100,100,100
Dppa2,80,99,97,86
Dppa3,100,100,100,100
Dppa3-ps,0,0,0,0
Dppa4,86,84,98,82
Dppa5a,100,100,100,100
Dpt,100,94,95,99
Dpy19l1,96,96,96,96
Dpy19l2,100,100,100,100
Dpy19l3,99,98,99,98
Dpy19l4,95,96,95,96
Dpy30,100,100,100,100
Dpyd,93,93,97,92
Dpys,62,53,59,64
Dpysl2,99,99,99,99
Dpysl3,98,98,98,98
Dpysl4,90,90,86,88
Dpysl5,90,86,97,96
Dqx1,71,72,68,75
Dr1,95,95,96,95
Dram1,93,92,92,92
Dram2,97,96,96,96
Drap1,100,100,100,100
Draxin,81,81,77,78
Drc1,100,100,100,100
Drc3,88,91,90,84
Drc7,100,100,100,100
Drd1,96,88,89,90
Drd2,48,62,35,43
Drd3,100,100,100,100
Drd4,100,100,100,100
Drd5,0,0,0,0
Drg1,99,99,99,99
Drg2,97,97,97,97
Drgx,100,100,100,100
Drosha,96,96,95,96
Drp2,91,90,94,93
Dsc1,100,100,100,100
Dsc2,95,95,94,94
Dsc3,100,100,100,100
Dscam,60,61,70,65
Dscaml1,29,43,32,32
Dscc1,96,95,92,91
Dse,95,94,95,95
Dsel,90,89,92,92
Dsg1a,100,100,100,100
Dsg1c,100,100,100,100
Dsg2,96,96,96,96
Dsg3,100,100,100,100
Dsn1,95,96,97,96
Dsp,99,99,99,99
Dst,99,99,99,99
Dstn,99,99,99,99
Dstyk,94,94,94,93
Dtd1,99,98,98,98
Dtd2,91,91,91,91
Dtl,91,91,93,84
Dtna,92,96,96,96
Dtnb,96,96,96,96
Dtnbp1,96,96,97,96
Dtwd1,91,91,91,91
Dtwd2,92,93,91,92
Dtx1,92,96,93,92
Dtx2,92,92,92,91
Dtx3,93,92,94,91
Dtx3l,97,96,97,97
Dtx4,89,89,91,90
Dtymk,96,97,97,96
Dubr,86,82,86,82
Duox1,100,100,100,100
Duox2,100,100,100,100
Duoxa1,100,100,100,100
Duoxa2,100,100,100,100
Dus1l,95,94,95,95
Dus2,98,98,98,98
Dus3l,92,92,93,92
Dus4l,90,89,89,88
Dusp1,100,100,100,100
Dusp10,95,95,95,94
Dusp11,96,96,96,96
Dusp12,94,94,94,93
Dusp13a,29,47,31,29
Dusp13b,100,100,100,100
Dusp14,97,97,97,93
Dusp15,79,77,86,56
Dusp16,93,93,93,93
Dusp18,99,96,98,98
Dusp19,99,99,99,98
Dusp2,88,84,87,89
Dusp22,96,96,96,96
Dusp23,84,80,81,90
Dusp26,99,98,93,86
Dusp28,93,87,92,95
Dusp29,100,100,100,100
Dusp3,97,97,97,97
Dusp4,94,95,94,93
Dusp5,89,90,89,88
Dusp6,89,89,91,90
Dusp7,86,88,88,88
Dusp8,83,86,85,84
Dusp9,97,98,96,94
Dut,97,97,97,97
Duxbl1,79,75,82,81
Dvl1,95,95,95,95
Dvl2,95,95,95,95
Dvl3,87,89,89,88
Dxo,90,90,89,89
Dydc2,100,100,100,100
Dym,98,97,98,98
Dync1h1,98,98,99,98
Dync1i1,77,85,84,85
Dync1i2,97,97,97,97
Dync1li1,97,97,97,97
Dync1li2,97,97,97,97
Dync2h1,95,95,95,95
Dync2i1,93,93,93,93
Dync2i2,96,96,96,95
Dync2li1,98,97,97,98
Dynll1,100,100,100,100
Dynll2,90,91,92,91
Dynlrb1,100,100,100,100
Dynlrb2,100,100,100,100
Dynlt1a,87,83,84,85
Dynlt1b,52,64,62,51
Dynlt1c,80,83,85,79
Dynlt1f,96,96,96,96
Dynlt2b,95,96,96,95
Dynlt3,99,99,99,99
Dynlt4,52,40,48,30
Dynlt5,100,100,100,100
Dyrk1a,94,94,93,93
Dyrk1b,81,83,83,83
Dyrk2,92,92,93,92
Dyrk3,93,94,93,87
Dysf,97,97,97,97
Dzank1,84,79,84,84
Dzip1,97,97,96,96
Dzip1l,93,92,92,92
Dzip3,96,96,96,96
E030013I19Rik,100,100,100,100
E030022I16Rik,0,0,0,0
E030026E10Rik,0,0,0,0
E030030I06Rik,0,0,0,0
E030037K01Rik,100,100,100,100
E030042O20Rik,76,69,68,63
E030044B06Rik,43,53,55,54
E130006D01Rik,19,14,29,15
E130018N17Rik,51,52,55,53
E130102H24Rik,75,72,77,76
E130111B04Rik,100,100,100,100
E130114P18Rik,100,100,100,100
E130201H02Rik,0,0,0,0
E130202H07Rik,41,61,42,32
E130215H24Rik,45,34,45,42
E130307A14Rik,83,83,85,84
E130308A19Rik,83,85,84,87
E130311K13Rik,94,94,93,94
E130317F20Rik,62,68,63,62
E230001N04Rik,69,70,72,79
E230013L22Rik,62,40,54,68
E230016K23Rik,100,100,100,100
E230016M11Rik,91,90,89,90
E230020A03Rik,0,0,0,0
E230020D15Rik,0,0,0,0
E230025N22Rik,100,100,100,100
E230029C05Rik,100,100,100,100
E230032D23Rik,100,100,100,100
E2f1,86,85,88,89
E2f2,93,92,92,89
E2f3,78,76,78,76
E2f4,93,93,93,93
E2f5,93,92,92,92
E2f6,98,98,98,98
E2f7,85,87,88,89
E2f8,85,87,80,89
E330011M16Rik,0,0,0,0
E330020D12Rik,100,100,100,100
E330034L11Rik,0,0,0,0
E330040D14Rik,0,0,0,0
E430014B02Rik,0,0,0,0
E430021H15Rik,0,0,0,0
E430024I08Rik,90,89,89,89
E430024P14Rik,86,88,84,89
E4f1,96,97,97,96
E530001F21Rik,0,0,0,0
E530011L22Rik,38,36,37,43
ENSMUSG00000047061,0,0,0,0
ENSMUSG00000121307,63,67,63,64
ENSMUSG00000121322,100,100,100,100
ENSMUSG00000121350,26,44,35,30
ENSMUSG00000121360,100,100,100,100
ENSMUSG00000121378,72,72,71,74
ENSMUSG00000121382,80,72,71,70
ENSMUSG00000121386,100,100,100,100
ENSMUSG00000121393,76,69,72,66
ENSMUSG00000121395,95,93,95,93
ENSMUSG00000121399,47,54,48,59
ENSMUSG00000121418,0,0,0,0
ENSMUSG00000121429,100,100,100,100
ENSMUSG00000121430,100,100,100,100
ENSMUSG00000121438,64,70,77,77
ENSMUSG00000121444,100,100,100,100
ENSMUSG00000121445,100,100,100,100
ENSMUSG00000121452,0,0,0,0
ENSMUSG00000121455,5,14,8,16
ENSMUSG00000121456,39,60,60,64
ENSMUSG00000121476,57,46,49,65
ENSMUSG00000121477,0,0,0,0
ENSMUSG00000121479,72,70,72,71
ENSMUSG00000121480,17,33,41,40
ENSMUSG00000121481,100,100,100,100
ENSMUSG00000121482,99,99,99,99
ENSMUSG00000121483,60,51,63,63
ENSMUSG00000121489,83,78,80,71
ENSMUSG00000121500,71,78,82,81
ENSMUSG00000121505,100,100,100,100
ENSMUSG00000121507,28,20,16,15
ENSMUSG00000121570,100,100,100,100
ENSMUSG00000121571,100,100,100,100
ENSMUSG00000121575,26,44,40,34
ENSMUSG00000121578,0,0,0,0
ENSMUSG00000121597,0,0,0,0
ENSMUSG00000121608,100,100,100,100
ENSMUSG00000121610,100,100,100,100
ENSMUSG00000121623,37,33,42,20
ENSMUSG00000121625,100,100,100,100
ENSMUSG00000121635,0,0,0,0
ENSMUSG00000121642,100,100,100,100
ENSMUSG00000121643,100,100,100,100
ENSMUSG00000121644,0,0,0,0
ENSMUSG00000121648,100,100,100,100
ENSMUSG00000121649,4,5,4,3
ENSMUSG00000121653,53,51,40,48
ENSMUSG00000121655,0,0,0,0
ENSMUSG00000121658,0,0,0,0
ENSMUSG00000121664,0,0,0,0
ENSMUSG00000121669,0,0,0,0
ENSMUSG00000121673,44,44,32,38
ENSMUSG00000121687,100,100,100,100
ENSMUSG00000121689,100,100,100,100
ENSMUSG00000121694,0,0,0,0
ENSMUSG00000121697,0,0,0,0
ENSMUSG00000121708,0,0,0,0
ENSMUSG00000121717,0,0,0,0
ENSMUSG00000121729,100,100,100,100
ENSMUSG00000121730,90,91,89,90
ENSMUSG00000121741,0,0,0,0
ENSMUSG00000121752,0,0,0,0
ENSMUSG00000121760,100,100,100,100
ENSMUSG00000121764,100,100,100,100
ENSMUSG00000121767,0,0,0,0
ENSMUSG00000121769,0,0,0,0
ENSMUSG00000121771,100,100,100,100
ENSMUSG00000121773,0,0,0,0
ENSMUSG00000121776,0,0,0,0
ENSMUSG00000121777,0,0,0,0
ENSMUSG00000121779,0,0,0,0
ENSMUSG00000121780,100,100,100,100
ENSMUSG00000121783,0,0,0,0
ENSMUSG00000121784,99,99,99,99
ENSMUSG00000121792,48,44,62,42
ENSMUSG00000121793,0,0,0,0
ENSMUSG00000121794,12,19,21,11
ENSMUSG00000121798,99,99,99,98
ENSMUSG00000121804,93,94,92,91
ENSMUSG00000121808,86,87,84,95
ENSMUSG00000121813,100,100,100,100
ENSMUSG00000121815,100,100,100,100
ENSMUSG00000121823,0,0,0,0
ENSMUSG00000121828,100,100,100,100
ENSMUSG00000121830,0,0,0,0
ENSMUSG00000121838,0,0,0,0
ENSMUSG00000121847,100,100,100,100
ENSMUSG00000121858,100,100,100,100
ENSMUSG00000121861,100,100,100,100
ENSMUSG00000121863,100,100,100,100
ENSMUSG00000121867,100,100,100,100
ENSMUSG00000121869,100,100,100,100
ENSMUSG00000121880,100,100,100,100
ENSMUSG00000121883,56,52,46,50
ENSMUSG00000121895,100,100,100,100
ENSMUSG00000121908,0,0,0,0
ENSMUSG00000121913,94,95,96,96
ENSMUSG00000121915,0,0,0,0
ENSMUSG00000121920,100,100,100,100
ENSMUSG00000121926,49,60,59,50
ENSMUSG00000121927,58,52,64,48
ENSMUSG00000121928,100,100,100,100
ENSMUSG00000121929,100,100,100,100
ENSMUSG00000121951,100,100,100,100
ENSMUSG00000121952,100,100,100,100
ENSMUSG00000121973,86,66,59,66
ENSMUSG00000121976,100,100,100,100
ENSMUSG00000121983,100,100,100,100
ENSMUSG00000121988,0,0,0,0
ENSMUSG00000122003,0,0,0,0
ENSMUSG00000122011,0,0,0,0
ENSMUSG00000122020,0,0,0,0
ENSMUSG00000122024,0,0,0,0
ENSMUSG00000122025,0,0,0,0
ENSMUSG00000122027,0,0,0,0
ENSMUSG00000122028,0,0,0,0
ENSMUSG00000122036,0,0,0,0
ENSMUSG00000122041,100,100,100,100
ENSMUSG00000122046,100,100,100,100
ENSMUSG00000122047,100,100,100,100
ENSMUSG00000122055,100,100,100,100
ENSMUSG00000122060,100,100,100,100
ENSMUSG00000122064,100,100,100,100
ENSMUSG00000122069,0,0,0,0
ENSMUSG00000122073,29,32,40,40
ENSMUSG00000122074,100,100,100,100
ENSMUSG00000122077,0,0,0,0
ENSMUSG00000122083,100,100,100,100
ENSMUSG00000122094,0,0,0,0
ENSMUSG00000122099,0,0,0,0
ENSMUSG00000122101,0,0,0,0
ENSMUSG00000122104,100,100,100,100
ENSMUSG00000122108,0,0,0,0
ENSMUSG00000122110,0,0,0,0
ENSMUSG00000122116,0,0,0,0
ENSMUSG00000122119,100,100,100,100
ENSMUSG00000122124,0,0,0,0
ENSMUSG00000122128,25,21,40,52
ENSMUSG00000122137,30,51,37,61
ENSMUSG00000122139,0,0,0,0
ENSMUSG00000122142,0,0,0,0
ENSMUSG00000122143,100,100,100,100
ENSMUSG00000122147,100,100,100,100
ENSMUSG00000122148,100,100,100,100
ENSMUSG00000122176,100,100,100,100
ENSMUSG00000122190,0,0,0,0
ENSMUSG00000122195,100,100,100,100
ENSMUSG00000122201,0,0,0,0
ENSMUSG00000122204,100,100,100,100
ENSMUSG00000122223,0,0,0,0
ENSMUSG00000122224,0,0,0,0
ENSMUSG00000122225,0,0,0,0
ENSMUSG00000122231,100,100,100,100
